blocktime,open,high,low,close,volume
03/30/2025 09:01:12,650.8531841883611,650.8531841883611,650.8531841883611,650.8531841883611,529945340.0
03/30/2025 09:01:16,614.3808082195129,614.3808082195129,614.3808082195129,614.3808082195129,1431594820.0
03/30/2025 09:01:15,618.3123809895856,618.3123809895856,618.3123809895856,618.3123809895856,1409652670.0
03/30/2025 09:01:22,608.8101954037886,608.8101954037886,608.8101954037886,608.8101954037886,901270240.0
03/30/2025 09:01:19,610.2502485188026,610.2502485188026,610.2502485188026,610.2502485188026,144797330.0
03/30/2025 09:01:23,607.566779611525,607.566779611525,606.8412099035096,606.8412099035096,489261820.0
03/30/2025 09:01:25,606.1650529852514,606.1650529852514,606.1650529852514,606.1650529852514,46076710.0
03/30/2025 09:01:17,611.4271470555248,611.4271470555248,611.4271470555248,611.4271470555248,709819680.0000001
03/30/2025 09:01:26,619.5520525993584,619.5520525993584,619.5520525993584,619.5520525993584,9801980190.0
03/30/2025 09:01:27,632.0948133975189,632.0948133975189,632.0948133975189,632.0948133975189,859689320.0
03/30/2025 09:01:13,635.0094716017579,635.0094716017579,635.0094716017579,635.0094716017579,10618838790.0
03/30/2025 09:01:28,651.4749077341085,651.4749077341085,651.4749077341085,651.4749077341085,14702970290.0
03/30/2025 09:01:29,675.8818817402437,680.2123537439795,675.8818817402437,680.2123537439795,2981571240.0
03/30/2025 09:01:32,674.6777250635885,674.6777250635885,12.554329651792843,12.554329651792843,9822372990.0
03/30/2025 09:01:31,664.036639217076,664.036639217076,661.7737779864791,661.7737779864791,1576844500.0
03/30/2025 09:01:30,681.6634868435035,681.6634868435035,673.5027106930538,673.5027106930538,5998891680.0
03/30/2025 09:01:42,687.3752944474999,687.3752944474999,687.3752944474999,687.3752944474999,870200700.0
03/30/2025 09:01:35,687.200072700805,687.200072700805,687.200072700805,687.200072700805,990000000.0
03/30/2025 09:01:48,693.260003475694,693.260003475694,693.260003475694,693.260003475694,4900990090.0
03/30/2025 09:02:01,697.4620333333335,697.4620333333335,693.1493665923097,693.1493665923097,2936326270.0
03/30/2025 09:01:58,700.5192726112375,700.5192726112375,700.5192726112375,700.5192726112375,20000000.0
03/30/2025 09:02:10,694.1259709948021,694.1259709948021,694.1259709948021,694.1259709948021,471031229.99999994
03/30/2025 09:02:16,691.9700139045782,691.9700139045782,691.9700139045782,691.9700139045782,997887880.0
03/30/2025 09:02:18,627.2708223632363,627.2708223632363,627.2708223632363,627.2708223632363,4971712610.0
03/30/2025 09:02:20,620.0775933813827,620.0775933813827,611.1292122379517,611.1292122379517,6448881670.000001
03/30/2025 09:02:08,693.3635129255424,693.3635129255424,693.3635129255424,693.3635129255424,990000000.0
03/30/2025 09:02:17,661.7814536934738,661.7814536934738,661.7814536934738,661.7814536934738,19614029090.0
03/30/2025 09:02:25,600.8738733201741,600.8738733201741,600.8610031624681,600.8610031624681,462858629.99999994
03/30/2025 09:02:27,599.0897560068837,599.0897560068837,597.5214179051549,597.5214179051549,1106549210.0
03/30/2025 09:02:28,596.5847341559935,596.5847341559935,594.9666076756249,594.9666076756249,1189529239.999999
03/30/2025 09:02:33,576.7042858742408,576.7042858742408,576.7042858742408,576.7042858742408,8378583990.0
03/30/2025 09:02:37,562.5442980360697,562.5442980360697,562.5442980360697,562.5442980360697,2303828920.0
03/30/2025 09:02:39,548.063454681995,548.063454681995,536.4016268722559,536.4016268722559,9030135490.0
03/30/2025 09:02:38,559.4999739422925,559.4999739422925,559.4999739422925,559.4999739422925,4542730.0
03/30/2025 09:02:21,601.5776849212956,601.5776849212956,601.5776849212956,601.5776849212956,742000310.0
03/30/2025 09:02:30,592.2431232259329,592.2431232259329,589.1185969262874,589.1185969262874,2307496590.0
03/30/2025 09:02:40,534.16056942555,534.16056942555,534.16056942555,534.16056942555,1377644230.0
03/30/2025 09:02:41,531.5448204373454,531.5448204373454,530.6428127787188,530.6428127787188,702482990.0
03/30/2025 09:02:42,529.9558544001472,729.0639788969596,529.9558544001472,729.0639788969596,509308480.0
03/30/2025 09:02:47,523.2336273573909,523.2336273573909,523.2336273573909,523.2336273573909,3701403720.0
03/30/2025 09:02:55,518.0539525960043,521.2248933448858,518.0539525960043,521.2248933448858,2501948750.0
03/30/2025 09:02:44,528.6320579454851,528.6320579454851,528.6320579454851,528.6320579454851,513830000.0
03/30/2025 09:02:54,518.2970598697524,518.2970598697524,518.2970598697524,518.2970598697524,188116990.0
03/30/2025 09:03:03,523.563689356375,523.563689356375,523.563689356375,523.563689356375,667595290.0
03/30/2025 09:03:11,529.9835133039245,529.9835133039245,529.6533986828406,529.6533986828406,255137420.0
03/30/2025 09:03:08,526.4973681163328,526.4973681163328,526.4973681163328,526.4973681163328,2969782810.0
03/30/2025 09:03:17,542.4817234255216,542.4817234255216,542.4817234255216,542.4817234255216,10000000000.0
03/30/2025 09:03:23,557.5279639707304,557.5279639707304,557.5279639707304,557.5279639707304,528590990.0
03/30/2025 09:03:24,0.5690220524202788,0.5690220524202788,0.5690220524202788,0.5690220524202788,7613919.999999999
03/30/2025 09:03:42,550.5316854595583,550.5316854595583,550.5316854595583,550.5316854595583,9897621060.0
03/30/2025 09:03:44,560.3830223668037,560.3830223668037,560.3830223668037,560.3830223668037,790010.0
03/30/2025 09:03:43,562.0057852970309,562.0057852970309,562.0057852970309,562.0057852970309,1226351150.0
03/30/2025 09:03:45,573.5666311549711,573.5666311549711,573.5666311549711,573.5666311549711,9990000000.0
03/30/2025 09:03:59,588.3541255873024,588.3541255873024,588.3541255873024,588.3541255873024,960014720.0
03/30/2025 09:04:05,575.3002885284689,575.3002885284689,561.290414657957,561.290414657957,10608815490.0
03/30/2025 09:04:11,553.2512377676763,553.2512377676763,553.2512377676763,553.2512377676763,6085000850.0
03/30/2025 09:03:21,556.9203543874415,556.9203543874415,556.9203543874415,556.9203543874415,990000000.0
03/30/2025 09:04:19,545.4624568036797,545.4624568036797,545.4624568036797,545.4624568036797,611680420.0
03/30/2025 09:04:16,544.9991053132369,544.9991053132369,544.6394907890542,544.6394907890542,255288250.00000003
03/30/2025 09:04:29,534.1400346950209,534.1400346950209,534.1400346950209,534.1400346950209,9303293910.0
03/30/2025 09:04:51,520.4819692790297,520.4819692790297,519.2798071033319,519.2798071033319,945787409.9999999
03/30/2025 09:04:57,519.7861276530527,519.7861276530527,519.7861276530527,519.7861276530527,400000010.0
03/30/2025 09:04:30,522.2859087301439,522.2859087301439,522.2859087301439,522.2859087301439,1503060.0
03/30/2025 09:05:02,467.49689252918824,467.49689252918824,467.49689252918824,467.49689252918824,4979340.0
03/30/2025 09:05:01,493.193369775689,493.193369775689,493.193369775689,493.193369775689,21316979749.999996
03/30/2025 09:05:10,443.95411162717727,443.95411162717727,443.95411162717727,443.95411162717727,19531532600.0
